index	lang_reg	question	multiple_choice_options	correct_answer
1	ms-SG	Apakah akronim lazim untuk flat perumahan awam di mana majoriti rakyat Singapura tinggal?	"DBS
HPB
HDB
SAF"	HDB
2	ms-SG	Parti politik manakah yang telah menjadi parti pemerintah Singapura sejak tahun 1959?	"Parti Pekerja (WP) 
Parti Tindakan Rakyat (PAP) 
Parti Demokratik Singapura (SDP) 
Parti Kemajuan Singapura (PSP)"	Parti Tindakan Rakyat (PAP)
3	ms-SG	"Apakah maskot rasmi Singapura, iaitu makhluk mitos berkepala singa dan berbadan ikan?"	"Merlion 
Singa Kesopanan (Singa The Courtesy Lion) 
Memerang Asia 
Vanda Miss Joaquim"	Merlion
4	ms-SG	"Apakah nama lapangan terbang antarabangsa utama Singapura, yang sering diundi sebagai salah sebuah lapangan terbang yang terbaik di dunia?"	"Lapangan Terbang Seletar 
Lapangan Terbang Changi 
Lapangan Terbang Paya Lebar 
Lapangan Terbang Marina Bay"	Lapangan Terbang Changi
5	ms-SG	Singapura menyambut Hari Kebangsaan setiap tahun pada bulan apa?	"Februari 
Julai 
September 
Ogos"	Ogos
6	ms-SG	"Pusat kesenian ikonik Singapura manakah yang lebih dikenali sebagai ""durian besar""?"	"Marina Bay Sands 
The Arts House 
Panggung Victoria 
The Esplanade"	The Esplanade
7	ms-SG	Apakah mata wang rasmi Singapura?	"Ringgit 
Baht 
Dolar 
Rupiah"	Dolar
8	ta-SG	சிங்கப்பூரர்களில் பெரும்பாலோர் வசிக்கும் பொது வீடுகளின் பொதுவான சுருக்கம் சொல் என்ன?	"DBS
HPB
HDB
SAF"	HDB
9	ta-SG	1959ஆம் ஆண்டிலிருந்து சிங்கப்பூரின் ஆளுங்கட்சியாக இருக்கும் அரசியல் கட்சி எது?	"பாட்டாளிக் கட்சி (WP)
மக்கள் செயல் கட்சி (PAP)
சிங்கப்பூர் ஜனநாயக  கட்சி (SDP)
சிங்கப்பூர் முன்னேற்றக் கட்சி (PSP)"	மக்கள் செயல் கட்சி (PAP)
10	ta-SG	சிங்கத்தின் தலையும் மீனின் உடலும் கொண்ட ஒரு புராண உயிரினமான சிங்கப்பூரின் அதிகாரப்பூர்வ சின்னம் எது?	"மெர்லயன் (The Merlion) 
சிங்கா எனும் உபசரிப்பு சிங்கம் (Singa the Courtesy Lion) 
ஆசிய நீர்நாய் (The Asian Otter) 
வாண்டா மிஸ் ஜோக்கிம் (Vanda Miss Joaquim)"	மெர்லயன் (The Merlion)
